Electricity.Timestep,Time,sum_kwh_per_appartment_2person,total_electrcitiy_consumption_kWh
0,01.01.2021 00:00,0.088594511,7.35334442
60,01.01.2021 01:00,0.091316918,7.579304227
120,01.01.2021 02:00,0.105339119,8.743146905
180,01.01.2021 03:00,0.125637656,10.42792549
240,01.01.2021 04:00,0.192348739,15.96494535
300,01.01.2021 05:00,1.027124868,85.25136401
360,01.01.2021 06:00,0.919842536,76.34693046
420,01.01.2021 07:00,0.983199771,81.60558097
480,01.01.2021 08:00,1.304665859,108.2872663
540,01.01.2021 09:00,1.133681191,94.09553884
600,01.01.2021 10:00,0.703807677,58.41603716
660,01.01.2021 11:00,0.08998193,7.46850021
720,01.01.2021 12:00,0.101406029,8.416700369
780,01.01.2021 13:00,0.457856358,38.00207768
840,01.01.2021 14:00,0.601355108,49.91247393
900,01.01.2021 15:00,0.254450262,21.11937171
960,01.01.2021 16:00,0.238352621,19.78326756
1020,01.01.2021 17:00,0.156927468,13.0249798
1080,01.01.2021 18:00,2.285502814,189.6967335
1140,01.01.2021 19:00,2.877238271,238.8107765
1200,01.01.2021 20:00,0.118213944,9.811757344
1260,01.01.2021 21:00,0.081870332,6.795237578
1320,01.01.2021 22:00,0.082738375,6.867285106
1380,01.01.2021 23:00,0.100045559,8.303781401
1440,02.01.2021 00:00,0.087300341,7.245928317
1500,02.01.2021 01:00,0.083896646,6.963421603
1560,02.01.2021 02:00,0.084936784,7.049753096
1620,02.01.2021 03:00,0.092049624,7.640118807
1680,02.01.2021 04:00,0.219156404,18.18998157
1740,02.01.2021 05:00,0.66261754,54.99725586
1800,02.01.2021 06:00,0.986057005,81.8427314
1860,02.01.2021 07:00,0.394347476,32.73084053
1920,02.01.2021 08:00,0.169073316,14.03308527
1980,02.01.2021 09:00,0.469992607,39.00938639
2040,02.01.2021 10:00,0.820018594,68.06154333
2100,02.01.2021 11:00,1.388209751,115.2214093
2160,02.01.2021 12:00,0.476729491,39.56854775
2220,02.01.2021 13:00,0.101062734,8.388206911
2280,02.01.2021 14:00,0.110867558,9.202007304
2340,02.01.2021 15:00,0.228625177,18.97588972
2400,02.01.2021 16:00,0.188083999,15.61097195
2460,02.01.2021 17:00,0.251482606,20.87305634
2520,02.01.2021 18:00,0.65016946,53.9640652
2580,02.01.2021 19:00,0.093632893,7.771530089
2640,02.01.2021 20:00,0.083980635,6.970392704
2700,02.01.2021 21:00,0.087422477,7.256065577
2760,02.01.2021 22:00,0.084268929,6.994321123
2820,02.01.2021 23:00,0.084475947,7.011503609
2880,03.01.2021 00:00,0.083917972,6.965191663
2940,03.01.2021 01:00,0.085431776,7.090837376
3000,03.01.2021 02:00,0.123286114,10.2327475
3060,03.01.2021 03:00,0.160563768,13.32679279
3120,03.01.2021 04:00,1.219565094,101.2239028
3180,03.01.2021 05:00,0.741489572,61.54363444
3240,03.01.2021 06:00,1.017588696,84.45986178
3300,03.01.2021 07:00,0.308287682,25.58787763
3360,03.01.2021 08:00,0.164247272,13.63252357
3420,03.01.2021 09:00,0.802823451,66.63434647
3480,03.01.2021 10:00,1.026130116,85.16879962
3540,03.01.2021 11:00,1.900384205,157.731889
3600,03.01.2021 12:00,0.139877038,11.60979419
3660,03.01.2021 13:00,0.10060101,8.349883796
3720,03.01.2021 14:00,0.139625276,11.58889791
3780,03.01.2021 15:00,0.146967035,12.1982639
3840,03.01.2021 16:00,0.221626343,18.39498643
3900,03.01.2021 17:00,0.28569277,23.71249993
3960,03.01.2021 18:00,0.543864038,45.14071514
4020,03.01.2021 19:00,0.32153749,26.68761169
4080,03.01.2021 20:00,0.104883063,8.705294241
4140,03.01.2021 21:00,0.087463853,7.259499821
4200,03.01.2021 22:00,0.08679935,7.204346018
4260,03.01.2021 23:00,0.086573737,7.185620166
4320,04.01.2021 00:00,0.087129423,7.231742095
4380,04.01.2021 01:00,0.086605646,7.188268655
4440,04.01.2021 02:00,0.081959201,6.802613717
4500,04.01.2021 03:00,0.096869552,8.040172798
4560,04.01.2021 04:00,0.153053372,12.70342984
4620,04.01.2021 05:00,0.156236897,12.96766247
4680,04.01.2021 06:00,0.998425645,82.86932855
4740,04.01.2021 07:00,0.378236618,31.39363928
4800,04.01.2021 08:00,0.127028033,10.54332675
4860,04.01.2021 09:00,0.083894808,6.963269045
4920,04.01.2021 10:00,0.084838368,7.041584574
4980,04.01.2021 11:00,0.084484763,7.012235301
5040,04.01.2021 12:00,0.083489482,6.929627032
5100,04.01.2021 13:00,0.089467988,7.425843007
5160,04.01.2021 14:00,0.084910529,7.047573869
5220,04.01.2021 15:00,0.261964069,21.74301769
5280,04.01.2021 16:00,0.22635231,18.78724173
5340,04.01.2021 17:00,0.826978332,68.63920158
5400,04.01.2021 18:00,1.613203516,133.8958918
5460,04.01.2021 19:00,0.562118103,46.65580254
5520,04.01.2021 20:00,0.082641116,6.859212645
5580,04.01.2021 21:00,0.093574792,7.766707757
5640,04.01.2021 22:00,0.079928927,6.634100943
5700,04.01.2021 23:00,0.082900572,6.880747487
5760,05.01.2021 00:00,0.091525468,7.596613811
5820,05.01.2021 01:00,0.084833838,7.041208542
5880,05.01.2021 02:00,0.095731544,7.94571818
5940,05.01.2021 03:00,0.144638701,12.00501221
6000,05.01.2021 04:00,0.563932641,46.80640918
6060,05.01.2021 05:00,0.537717971,44.63059159
6120,05.01.2021 06:00,0.109938091,9.124861585
6180,05.01.2021 07:00,0.099530175,8.261004528
6240,05.01.2021 08:00,0.082379475,6.837496387
6300,05.01.2021 09:00,0.082219036,6.824179956
6360,05.01.2021 10:00,0.085427828,7.090509742
6420,05.01.2021 11:00,0.082879591,6.87900607
6480,05.01.2021 12:00,0.083898987,6.963615957
6540,05.01.2021 13:00,0.093314304,7.745087201
6600,05.01.2021 14:00,0.086706234,7.196617394
6660,05.01.2021 15:00,0.08264198,6.859284334
6720,05.01.2021 16:00,0.772737568,64.13721815
6780,05.01.2021 17:00,0.968781775,80.40888735
6840,05.01.2021 18:00,0.769824331,63.8954195
6900,05.01.2021 19:00,0.113758694,9.441971623
6960,05.01.2021 20:00,0.084177925,6.98676781
7020,05.01.2021 21:00,0.088745685,7.365891887
7080,05.01.2021 22:00,0.087536931,7.265565255
7140,05.01.2021 23:00,0.085802278,7.121589103
7200,06.01.2021 00:00,0.084727264,7.032362873
7260,06.01.2021 01:00,0.080849524,6.710510486
7320,06.01.2021 02:00,0.116988119,9.710013885
7380,06.01.2021 03:00,0.238025345,19.75610365
7440,06.01.2021 04:00,0.143453135,11.90661023
7500,06.01.2021 05:00,0.928978572,77.10522144
7560,06.01.2021 06:00,0.494349099,41.0309752
7620,06.01.2021 07:00,0.968649163,80.39788055
7680,06.01.2021 08:00,0.549722717,45.62698554
7740,06.01.2021 09:00,1.273648193,105.7128
7800,06.01.2021 10:00,1.855560698,154.0115379
7860,06.01.2021 11:00,1.089948069,90.4656897
7920,06.01.2021 12:00,0.332115182,27.56556015
7980,06.01.2021 13:00,0.099025945,8.21915343
8040,06.01.2021 14:00,0.091975755,7.633987702
8100,06.01.2021 15:00,0.151028943,12.53540224
8160,06.01.2021 16:00,0.279344628,23.18560409
8220,06.01.2021 17:00,0.924780489,76.75678058
8280,06.01.2021 18:00,0.756990877,62.8302428
8340,06.01.2021 19:00,0.102749988,8.528248963
8400,06.01.2021 20:00,0.089593346,7.436247747
8460,06.01.2021 21:00,0.087674245,7.276962375
8520,06.01.2021 22:00,0.082223475,6.824548391
8580,06.01.2021 23:00,0.083974472,6.969881202
8640,07.01.2021 00:00,0.083706783,6.947663017
8700,07.01.2021 01:00,0.087711816,7.280080707
8760,07.01.2021 02:00,0.08467959,7.028405973
8820,07.01.2021 03:00,0.121636138,10.09579945
8880,07.01.2021 04:00,0.407092286,33.78865972
8940,07.01.2021 05:00,0.543179102,45.08386548
9000,07.01.2021 06:00,0.385538186,31.99966943
9060,07.01.2021 07:00,0.086011726,7.138973297
9120,07.01.2021 08:00,0.085306382,7.080429696
9180,07.01.2021 09:00,0.084684568,7.02881914
9240,07.01.2021 10:00,0.083424026,6.924194137
9300,07.01.2021 11:00,0.089481629,7.42697524
9360,07.01.2021 12:00,0.087060326,7.226007029
9420,07.01.2021 13:00,0.085239592,7.074886156
9480,07.01.2021 14:00,0.085499891,7.096490982
9540,07.01.2021 15:00,0.081630265,6.775311973
9600,07.01.2021 16:00,0.084085173,6.979069337
