Timestep;TAir;DeltaT (Thouse-Tair) (and =0 if no heating required);Demand space heating kWh;Demand domestic hot water kWh;Demand space heating kWh;Demand domestic hot water kWh;;;;;
01.01.2021 00:00;-3.9;23.9; 14.39 ; 5.25 ;379.9720161;14.5913242;;;;;
01.01.2021 01:00;-4.6;24.6; 14.81 ; 5.25 ;391.1009036;14.5913242; 1’426’000.00 ;kWh;Wärmebedarf von Infener;54000;kWh
01.01.2021 02:00;-5.2;25.2; 15.17 ; 5.25 ;400.6399501;14.5913242; 127’820.00 ;kWh;Warmwasserbedarf ;46000;
01.01.2021 03:00;-5.6;25.6; 15.41 ; 5.25 ;406.9993143;14.5913242; 1’553’820.00 ;;;;
01.01.2021 04:00;-6;26; 15.65 ; 5.25 ;413.3586786;14.5913242;1500;MWh;;;
01.01.2021 05:00;-6.4;26.4; 15.89 ; 5.25 ;419.7180429;14.5913242;;;;;
01.01.2021 06:00;-6.7;26.7; 16.07 ; 5.25 ;424.4875661;14.5913242;;;;;
01.01.2021 07:00;-7;27; 16.26 ; 5.25 ;429.2570893;14.5913242;16.91742526;;;;
01.01.2021 08:00;-7.1;27.1; 16.32 ; 5.25 ;430.8469304;14.5913242;;;;;
01.01.2021 09:00;-6.3;26.3; 15.83 ; 5.25 ;418.1282018;14.5913242;;;;;
01.01.2021 10:00;-5.7;25.7; 15.47 ; 5.25 ;408.5891554;14.5913242;;;;;
01.01.2021 11:00;-5.1;25.1; 15.11 ; 5.25 ;399.050109;14.5913242;;;;;
01.01.2021 12:00;-4.7;24.7; 14.87 ; 5.25 ;392.6907447;14.5913242;;;;;
01.01.2021 13:00;-4.6;24.6; 14.81 ; 5.25 ;391.1009036;14.5913242;;;;;
01.01.2021 14:00;-4.9;24.9; 14.99 ; 5.25 ;395.8704268;14.5913242;;;;;
01.01.2021 15:00;-5.4;25.4; 15.29 ; 5.25 ;403.8196322;14.5913242;;;;;
01.01.2021 16:00;-6.1;26.1; 15.71 ; 5.25 ;414.9485197;14.5913242;;;;;
01.01.2021 17:00;-6.4;26.4; 15.89 ; 5.25 ;419.7180429;14.5913242;;;;;
